,Arm End,,,RJ45,,,,
Feedback 00,0,,,0,,,,Feedback 00
,PIN,22,=,PIN,2,\,Orange/White,
,PIN,23,=,PIN,1,\,Orange,
,PIN,19,=,PIN,4,\,Blue/White,
,PIN,20,=,PIN,5,\,Blue,
,PIN,26,=,PIN,3,\,Green,
,PIN,25,=,PIN,6,\,Green/White ,
Feedback 01,1,,,1,,,,Feedback 01
,PIN,40,=,PIN,2,\,Orange/White,
,PIN,41,=,PIN,1,\,Orange,
,PIN,37,=,PIN,4,\,Blue/White,
,PIN,38,=,PIN,5,\,Blue,
,PIN,44,=,PIN,3,\,Green,
,PIN,43,=,PIN,6,\,Green/White ,
Feedback 02,2,,=,2,,,,Feedback 02
,PIN,59,=,PIN,2,\,Orange/White,
,PIN,58,=,PIN,1,\,Orange,
,PIN,56,=,PIN,4,\,Blue/White,
,PIN,55,=,PIN,5,\,Blue,
,PIN,61,=,PIN,3,\,Green,
,PIN,62,=,PIN,6,\,Green/White ,
Feedback 03,3,,=,3,,,,Feedback 03
,PIN,77,=,PIN,2,\,Orange/White,
,PIN,78,=,PIN,1,\,Orange,
,PIN,74,=,PIN,4,\,Blue/White,
,PIN,73,=,PIN,5,\,Blue,
,PIN,79,=,PIN,3,\,Green,
,PIN,80,=,PIN,6,\,Green/White ,
Feedback 04,4,,=,4,,,,Feedback 04
,PIN,95,=,PIN,2,\,Orange/White,
,PIN,94,=,PIN,1,\,Orange,
,PIN,92,=,PIN,4,\,Blue/White,
,PIN,91,=,PIN,5,\,Blue,
,PIN,97,=,PIN,3,\,Green,
,PIN,96,=,PIN,6,\,Green/White ,
Feedback 05,5,,,5,,,,Feedback 05
,PIN,113,=,PIN,2,\,Orange/White,
,PIN,112,=,PIN,1,\,Orange,
,PIN,110,=,PIN,4,\,Blue/White,
,PIN,109,=,PIN,5,\,Blue,
,PIN,115,=,PIN,3,\,Green,
,PIN,116,=,PIN,6,\,Green/White ,
